S/N,Month,Terminal ID,Terminal Serial,Business Name,Payment Value,Payment Volume,Transfer Value,Transfer Volume,"Target PaymentValue",Target Met,"Days Since LastTransaction",Business Registration Date,Terminal Assignment Date,Last Transaction Date
179,May,2070891E,P260301555076,Simbat Ventures,"411,600.00",29,"211,300.00",9,"20,000.00",TRUE,0,,,
180,May,2070CAKJ,P260301652777,Ajibola Telecom 4,"410,850.00",57,"30,100.00",4,"20,000.00",TRUE,0,,,
181,May,2057XDMO,P260301091805,Hotel De Phil,"409,820.00",2,0,0,"20,000.00",TRUE,0,,,
182,May,2033BCEP,P260300023071,Hawaw Ajadi,"405,500.00",33,"145,100.00",8,"20,000.00",TRUE,0,,,
183,May,2057TZNF,P260300738962,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYOLAREM LPG","400,530.00",10,0,0,"20,000.00",TRUE,0,,,
184,May,2057AUCS,P260301270627,LIME LIFE 2,"398,200.00",8,0,0,"20,000.00",TRUE,0,,,
185,May,207089DL,P260300351846,A. Akorede Ventures,"396,490.00",47,"580,800.00",38,"20,000.00",TRUE,0,,,
186,May,2033BBTK,P260301169505,AOT CONSULTANT 2,"395,450.00",33,"392,715.25",7,"20,000.00",TRUE,0,,,
187,May,2033PASF,P260301188105,Glorious Business Consult,"379,750.00",51,"533,490.00",16,"20,000.00",TRUE,0,,,
188,May,2070795X,P260300305708,"99-CITIES ENTERPRISES -Money World Ventures 7","378,750.00",60,"79,500.00",11,"20,000.00",TRUE,0,,,
189,May,2057ULOM,P260300805123,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY ALIWO","364,115.00",16,0,0,"20,000.00",TRUE,0,,,
190,May,2070XR28,P260301164476,Lesekese Concept,"363,800.00",20,0,0,"20,000.00",TRUE,0,,,
191,May,2070SA7F,P260301180751,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYOSOGBO 5","363,100.00",7,0,0,"20,000.00",TRUE,0,,,
192,May,2070MJT5,P260300432933,Olaoluwa Fish company 3,"362,400.00",13,"311,750.00",7,"20,000.00",TRUE,0,,,
193,May,2070GU7U,P260300983985,Tony Best Venture,"357,800.00",5,"26,800.00",2,"20,000.00",TRUE,0,,,
194,May,2033LJF5,P260300798110,J Mond ventures,"354,900.00",35,"305,250.00",7,"20,000.00",TRUE,0,,,
195,May,2057MRSO,P260301582020,Oriowo Ventures,"346,650.00",42,"844,000.00",13,"20,000.00",TRUE,0,,,
196,May,207093AR,P260301328749,"99-CITIES ENTERPRISES -Money World Ventures 4","345,650.00",28,"47,650.00",5,"20,000.00",TRUE,0,,,
